name,team,position,games,total_minutes,fgm,fga,ftm,fta,tpm,tpa,reb,ast,stl,blk,to,pts,pf,ppg,rpg,apg,spg,bpg,topg,tpm_pg,mpg,fg_pct,ft_pct,tp_pct,efg_pct
Eric Acker,La Salle,G,19,359,40,107,14,23,12,36,28,38,12,1,30,106,13,5.6,1.5,2.0,0.6,0.1,1.6,0.6,18.9,0.3738,0.6087,0.3333,0.4299
Hunter Adam,Davidson,F,23,343,45,86,10,13,27,63,47,18,9,7,10,127,37,5.5,2.0,0.8,0.4,0.3,0.4,1.2,14.9,0.5233,0.7692,0.4286,0.6802
Jaiun Simon,Dayton,F,23,357,36,75,45,62,9,23,65,17,12,11,13,126,42,5.5,2.8,0.7,0.5,0.5,0.6,0.4,15.5,0.48,0.7258,0.3913,0.54
Collin Tanner,Richmond,G,23,391,49,113,16,22,12,45,71,18,11,2,15,126,22,5.5,3.1,0.8,0.5,0.1,0.7,0.5,17.0,0.4336,0.7273,0.2667,0.4867
Jaden Johnson,La Salle,G,12,345,19,74,25,38,2,13,25,52,14,0,16,65,22,5.4,2.1,4.3,1.2,0.0,1.3,0.2,28.8,0.2568,0.6579,0.1538,0.2703
Jordan Tillery,VCU,G,9,78,17,30,10,14,4,7,17,6,4,2,3,48,11,5.3,1.9,0.7,0.4,0.2,0.3,0.4,8.7,0.5667,0.7143,0.5714,0.6333
Joseph Grahovac,St. Bonaventure,F,25,465,49,95,12,14,19,49,77,20,11,43,22,129,40,5.2,3.1,0.8,0.4,1.7,0.9,0.8,18.6,0.5158,0.8571,0.3878,0.6158
RJ Johnson,Rhode Island,G,24,562,40,109,37,39,9,39,43,79,18,0,31,126,33,5.2,1.8,3.3,0.8,0.0,1.3,0.4,23.4,0.367,0.9487,0.2308,0.4083
Justice Ajogbor,Saint Joseph's,F,25,594,49,78,28,46,0,0,127,33,5,58,18,126,47,5.0,5.1,1.3,0.2,2.3,0.7,0.0,23.8,0.6282,0.6087,,0.6282
Alex Crawford,Rhode Island,F,25,505,48,123,14,33,16,55,89,5,19,17,27,126,59,5.0,3.6,0.2,0.8,0.7,1.1,0.6,20.2,0.3902,0.4242,0.2909,0.4553
Ahmad Nowell,VCU,G,24,273,36,81,27,36,22,55,29,17,13,2,13,121,36,5.0,1.2,0.7,0.5,0.1,0.5,0.9,11.4,0.4444,0.75,0.4,0.5802
Malcolm Thomas,Dayton,F,18,184,32,58,20,34,5,14,31,7,4,16,16,89,32,4.9,1.7,0.4,0.2,0.9,0.9,0.3,10.2,0.5517,0.5882,0.3571,0.5948
Amar’e Marshall,St. Bonaventure,G,11,146,20,41,6,10,6,18,21,15,5,0,8,52,15,4.7,1.9,1.4,0.5,0.0,0.7,0.5,13.3,0.4878,0.6,0.3333,0.561
Marcus Greene,Fordham,G,25,427,43,109,2,4,27,82,28,17,10,3,8,115,33,4.6,1.1,0.7,0.4,0.1,0.3,1.1,17.1,0.3945,0.5,0.3293,0.5183
David Thomas,Richmond,G,26,392,45,99,7,8,22,49,32,15,18,2,11,119,29,4.6,1.2,0.6,0.7,0.1,0.4,0.8,15.1,0.4545,0.875,0.449,0.5657
Khaafiq Myers,Saint Joseph's,G,24,371,44,123,14,23,8,45,59,46,13,0,25,110,23,4.6,2.5,1.9,0.5,0.0,1.0,0.3,15.5,0.3577,0.6087,0.1778,0.3902
Truth Harris,La Salle,G,16,332,24,75,9,12,15,55,24,18,15,1,18,72,28,4.5,1.5,1.1,0.9,0.1,1.1,0.9,20.8,0.32,0.75,0.2727,0.42
Jake DiMichele,Duquesne,G,18,284,30,67,10,12,11,36,23,14,8,3,6,81,25,4.5,1.3,0.8,0.4,0.2,0.3,0.6,15.8,0.4478,0.8333,0.3056,0.5299
Jace Howard,Fordham,G,2,20,3,7,2,2,1,3,6,0,0,0,2,9,6,4.5,3.0,0.0,0.0,0.0,1.0,0.5,10.0,0.4286,1.0,0.3333,0.5
Emmanuel Kanga,George Mason,F,25,315,38,63,35,64,0,0,125,12,4,17,14,111,51,4.4,5.0,0.5,0.2,0.7,0.6,0.0,12.6,0.6032,0.5469,,0.6032
Ian Platteeuw,Davidson,F,21,323,39,82,13,27,2,6,88,40,12,10,29,93,27,4.4,4.2,1.9,0.6,0.5,1.4,0.1,15.4,0.4756,0.4815,0.3333,0.4878
Nick Ellington,George Mason,F,24,300,40,73,26,40,0,0,70,5,8,16,17,106,31,4.4,2.9,0.2,0.3,0.7,0.7,0.0,12.5,0.5479,0.65,,0.5479
Edwin Daniel,La Salle,F,24,367,45,94,11,23,0,2,91,10,16,32,22,101,61,4.2,3.8,0.4,0.7,1.3,0.9,0.0,15.3,0.4787,0.4783,0.0,0.4787
Sean Logan,Davidson,F,16,246,26,49,16,30,0,2,42,13,8,36,13,68,37,4.2,2.6,0.8,0.5,2.2,0.8,0.0,15.4,0.5306,0.5333,0.0,0.5306
Malik Presley,George Mason,G,26,472,41,79,16,36,7,20,49,24,16,8,22,105,44,4.0,1.9,0.9,0.6,0.3,0.8,0.3,18.2,0.519,0.4444,0.35,0.5633
Brayden O'Connor,George Mason,G,1,15,2,8,0,0,0,3,3,1,1,0,3,4,0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,15.0,0.25,,0.0,0.25
Will Harper III,Richmond,G,11,128,12,34,15,18,5,15,20,7,3,0,6,44,17,4.0,1.8,0.6,0.3,0.0,0.5,0.5,11.6,0.3529,0.8333,0.3333,0.4265
RJ Greer,Davidson,G,15,105,16,36,14,15,12,25,9,5,3,1,6,58,9,3.9,0.6,0.3,0.2,0.1,0.4,0.8,7.0,0.4444,0.9333,0.48,0.6111
Dola Adebayo,George Mason,F,21,243,26,65,19,24,6,21,49,10,14,7,15,77,24,3.7,2.3,0.5,0.7,0.3,0.7,0.3,11.6,0.4,0.7917,0.2857,0.4462
Noah Collier,La Salle,F,3,42,5,12,1,2,0,0,7,4,0,3,1,11,9,3.7,2.3,1.3,0.0,1.0,0.3,0.0,14.0,0.4167,0.5,,0.4167
